OS,screenW,Browser,screenH,workerid
Windows,1366,Chrome,768,0
Windows,1280,Chrome,1024,1
Windows,2048,Chrome,1152,2
Windows,1536,Firefox,864,3
Windows,1290,Firefox,650,4
Windows,1280,Chrome,720,5
Mac,1920,Chrome,1080,6
Windows,1600,Chrome,900,7
Windows,1920,Chrome,1080,8
Windows,1920,Chrome,1080,9
Windows,1920,Chrome,1080,10
Windows,1920,Chrome,1080,11
Windows,1920,Firefox,1080,12
Windows,1920,Chrome,1080,13
Windows,1280,Chrome,720,14
Mac,1920,Chrome,1080,15
Windows,1600,Chrome,900,16
Windows,1440,Chrome,900,17
Windows,1920,Chrome,1080,18
Windows,1536,Chrome,864,19
Windows,1920,Chrome,1080,20
Windows,1366,Chrome,768,21
Windows,1920,Chrome,1080,22
Windows,1366,Chrome,768,23
Windows,1366,Chrome,768,24
Windows,1360,Chrome,768,25
Windows,1920,Chrome,1080,26
Windows,1366,Chrome,768,27
Mac,1920,Chrome,1080,28
Windows,1500,Chrome,1000,29
Windows,1366,Chrome,768,30
Windows,1024,Firefox,576,31
Windows,1360,Chrome,768,32
Windows,3840,Chrome,2160,33
Windows,1920,Firefox,1080,34
Mac,1280,Chrome,800,35
Windows,1920,Chrome,1080,36
Windows,1280,Chrome,800,37
Windows,2560,Chrome,1440,38
Windows,1280,Chrome,720,39
Windows,1920,Chrome,1080,40
Windows,1600,Chrome,900,41
Windows,1366,Chrome,768,42
Windows,1280,Chrome,1024,43
Windows,2560,Chrome,1080,44
Windows,1366,Chrome,768,45
Windows,1536,Chrome,864,46
Windows,1920,Chrome,1080,47
Windows,1920,Firefox,1080,48
Windows,1920,Chrome,1080,49
Windows,1920,Chrome,1080,50
Windows,1920,Chrome,1080,51
Windows,1920,Chrome,1080,52
Windows,1920,Chrome,1080,53
Windows,2560,Chrome,1440,54
Windows,1920,Chrome,1080,55
Windows,1366,Chrome,768,56
Windows,1920,Chrome,1080,57
Windows,2752,Chrome,1152,58
Windows,1920,Chrome,1080,59
Windows,1920,Firefox,1080,60
Linux,1366,Chrome,768,61
Windows,3440,Chrome,1440,62
Windows,1920,Chrome,1080,63
Windows,1280,Firefox,800,64
Windows,1920,Chrome,1080,65
Linux,1366,Chrome,768,66
Windows,1360,Firefox,768,67
Windows,1920,Chrome,1080,68
Mac,1280,Chrome,800,69
Windows,1366,Chrome,768,70
Windows,1600,Chrome,900,71
Windows,2560,Chrome,1440,72
Windows,1280,Chrome,720,73
Windows,1920,Chrome,1080,74
Mac,1680,Chrome,1050,75
Windows,1600,Chrome,900,76
Mac,1920,Chrome,1080,77
Windows,1366,Chrome,768,78
Windows,1600,Chrome,900,79
