gender,comments,assess,enjoyment,age,language,education,workerid
Male,,Yes,2,41,English,2,0
Male,,Yes,2,34,english,3,1
Male,,Yes,1,50,English,3,2
Male,,Yes,1,28,english,3,3
Male,None,Yes,2,38,English,2,4
Female,it was fun thanks so much,Yes,1,32,english,3,5
Male,,Yes,2,29,English,2,6
Male,Extremely interesting and enjoyable,Yes,2,42,English,3,7
Male,was a very fun hit. Thank you!,Yes,2,35,english,1,8
Male,,Yes,2,31,English,1,9
Male,super fun but harder than expected,Yes,2,38,english,2,10
Male,My ability improved as the HIT progressed.  ,Yes,2,42,English,3,11
Female,,Yes,2,25,English,3,12
Female,this was fun!,Yes,2,35,English,2,13
Female,interesting hit for sure.,Yes,2,31,english,3,14
Female,,Yes,2,32,English,3,15
Female,,Yes,2,28,english,3,16
Female,,Yes,2,44,english,3,17
Female,Great hit it was fun,Yes,2,24,English,2,18
Male,,Yes,1,61,English,4,19
Male,,Yes,2,42,English,1,20
Female,none,Yes,2,31,English,3,21
Male,,Yes,2,25,English,2,22
Female,"would love to do more, very fun!",Yes,2,31,English,2,23
Female,,Yes,2,42,english,1,24
Female,,Yes,2,23,English,2,25
Male,,Yes,2,28,English,3,26
Male,Was fun :) I enjoy these types of scenarios!,Yes,2,35,English,3,27
Male,"This was refreshing, thank you",Yes,2,31,English,2,28
Male,,Yes,2,21,English,2,29
Male,This was actually a fun experiment,Yes,2,31,English,2,30
Male,Thanks,Yes,2,36,English,1,31
Female,"None, thank you.",Yes,2,37,English,3,32
Male,,Yes,1,40,English,1,33
Female,A fun hit!,Yes,2,41,English,3,34
Female,,Yes,2,32,english,2,35
Female,i really enjoy this experiment,Yes,2,27,english-spanish,3,36
Male,,Yes,2,39,English,3,37
Female,thanks,Yes,2,38,English,2,38
Male,,Yes,2,23,English,2,39
Male,lovely,Yes,2,40,English Language,3,40
Male,I thought this study was very fun and different. I'd love to do an additional one in the future. Thanks for working with me.,Yes,2,29,English,2,41
Male,"Good Hit, thanks",Yes,2,34,English,2,42
Male,,Yes,2,35,english,2,43
Female,,Yes,2,34,English,2,44
Male,,Yes,2,32,English,3,45
Male,,Yes,1,32,english,3,46
Male,interesting and different,Yes,2,55,english,2,47
Male,None at this time,Yes,2,35,English,4,48
Female,Very well paid and interesting experiment. Just wanted to say Thank you. ,Yes,2,28,English,3,49
Male,,Yes,1,35,English,3,50
Female,"I got it toward the end, pretty fun when I figured it out.",Yes,2,56,English,3,51
Female,,Yes,2,34,English,2,52
Male,,Yes,2,32,English,2,53
Male,,Yes,2,24,English,3,54
Female,GREAT STUDY. HAD FUN DOING IT,Yes,2,32,ENGLISH,2,55
Male,Thank you,Yes,2,25,English,2,56
Male,"Hello, I accidentally browsed away from the page so had to complete it a second time, but I completed it the same way I would have if I had never seen it before.  The logic works the same.  Apologies if you have duplicate data.  Thanks.",Yes,2,38,English,1,57
Female,I really didn't understand the responses. Several shapes were outlined with yellow. Is the HIT working correctly? I also felt like they made conflicting statements about their preferences. I did try to complete this to the best of my ability.,Confused,2,52,English,4,58
Male,This experiment was very interesting and well conducted. The questions and images were interesting as well. Thanks,Yes,2,33,English,3,59
Male,,Yes,2,48,English,3,60
Female,GOOD,Confused,1,18,TAMIL,3,61
Female,interesting,Yes,2,24,english,4,62
Male,"this was pretty fun, I enjoy HIT's like this. ",Yes,2,29,English,0,63
Female,,Yes,0,29,english,2,64
Male,,Yes,2,56,en,2,65
Male,thanks,Yes,1,32,English,3,66
Male,,Yes,2,28,english,3,67
Female,,Yes,2,47,English,3,68
Male,This was short and fun and easy thanks!,Yes,2,30,english,3,69
Female,,Yes,2,27,English,3,70
Female,"This was very interesting, Thanks!",Yes,2,29,English,2,71
Male,,Yes,2,24,English,3,72
Male,"I don't have any really, thank you",Yes,2,50,English,2,73
Female,,Yes,2,37,english,1,74
Male,,Yes,1,25,english,3,75
Female,This was really interesting and quite unique. I got better as I went on. I'd love to take apart again!,Yes,2,40,English,2,76
Male,Fun experiment. ,Yes,2,34,English,2,77
Male,,Confused,1,47,English,1,78
Female,,Yes,2,25,English,2,79
Male,Fun survey. Thanks.,Yes,2,48,english,3,80
Male,,Yes,2,32,English,3,81
Male,"Great $/hr ratio, thank you!",Yes,2,29,English,2,82
Female,It was interesting.,Yes,2,41,English,3,83
Male,,Yes,2,40,English,3,84
Female,"This was a good hit, but I really thought I narrowed down what people wanted and seemed to get worse each trial. ",Yes,2,28,English,2,85
Male,Very fun and engaging. Nice!,Yes,2,34,English,3,86
Female,,Yes,2,27,English,2,87
Female,,Yes,2,46,english,-1,88
Male,,Yes,2,28,English,2,89
Female,Such a fun hit and fair compensation. Thank you so much!,Yes,2,35,ENGLISH,3,90
Male,none,Yes,2,28,English,2,91
Female,"it's a very fun game, thank you!",Yes,2,34,Chinese,4,92
Male,,Yes,2,36,English,3,93
Male,,Yes,1,27,English,2,94
Male,Very interesting and a well done HIT. Thank you for your time and I wish you success with your project on Amazon Mechanical Turk.,Yes,2,63,English,3,95
Female,This was fun. Thanks for the opportunity.,Yes,2,51,english,2,96
Female,,Yes,2,24,English,2,97
Female,This was fun. Thank you.,Yes,2,32,english,1,98
