screenH,screenW,OS,workerid,Browser
900,1600,Windows,0,Chrome
900,1600,Windows,1,Chrome
1080,1920,Windows,2,Chrome
1206,2144,Windows,3,Firefox
1050,1680,Windows,4,Chrome
768,1366,Linux,5,Chrome
1080,1920,Windows,6,Chrome
786,393,Linux,7,Chrome
1080,1920,Windows,8,Firefox
864,1536,Windows,9,Chrome
1080,1920,Windows,10,Chrome
1080,1920,Windows,11,Chrome
1050,1680,Mac,12,Chrome
768,1366,Linux,13,Chrome
1080,1920,Windows,14,Firefox
768,1366,Windows,15,Chrome
1080,1920,Windows,16,Chrome
864,1536,Windows,17,Chrome
768,1366,Windows,18,Chrome
1024,1280,Windows,19,Chrome
1152,2048,Windows,20,Chrome
864,1536,Windows,21,Firefox
650,1290,Windows,22,Firefox
720,1280,Windows,23,Chrome
1080,1920,Mac,24,Chrome
900,1600,Windows,25,Chrome
1080,1920,Windows,26,Chrome
1080,1920,Windows,27,Chrome
1080,1920,Windows,28,Chrome
1080,1920,Windows,29,Chrome
1080,1920,Windows,30,Firefox
1080,1920,Windows,31,Chrome
720,1280,Windows,32,Chrome
1080,1920,Mac,33,Chrome
900,1600,Windows,34,Chrome
858,1525,Windows,35,Firefox
900,1440,Windows,36,Chrome
1080,1920,Windows,37,Chrome
864,1536,Windows,38,Chrome
1080,1920,Windows,39,Chrome
768,1366,Windows,40,Chrome
1080,1920,Windows,41,Chrome
768,1366,Windows,42,Chrome
768,1366,Windows,43,Chrome
768,1360,Windows,44,Chrome
1080,1920,Windows,45,Chrome
768,1366,Windows,46,Chrome
1080,1920,Mac,47,Chrome
1000,1500,Windows,48,Chrome
768,1366,Windows,49,Chrome
576,1024,Windows,50,Firefox
768,1360,Windows,51,Chrome
2160,3840,Windows,52,Chrome
1080,1920,Windows,53,Firefox
800,1280,Mac,54,Chrome
1080,1920,Windows,55,Chrome
800,1280,Windows,56,Chrome
1440,2560,Windows,57,Chrome
720,1280,Windows,58,Chrome
1080,1920,Windows,59,Chrome
900,1600,Windows,60,Chrome
768,1366,Windows,61,Chrome
1024,1280,Windows,62,Chrome
1080,2560,Windows,63,Chrome
768,1366,Windows,64,Chrome
864,1536,Windows,65,Chrome
1080,1920,Windows,66,Chrome
1080,1920,Windows,67,Firefox
1080,1920,Windows,68,Chrome
1080,1920,Windows,69,Chrome
1080,1920,Windows,70,Chrome
1080,1920,Windows,71,Chrome
1080,1920,Windows,72,Chrome
1440,2560,Windows,73,Chrome
1080,1920,Windows,74,Chrome
768,1366,Windows,75,Chrome
1080,1920,Windows,76,Chrome
1152,2752,Windows,77,Chrome
1080,1920,Windows,78,Chrome
1080,1920,Windows,79,Firefox
768,1366,Linux,80,Chrome
1440,3440,Windows,81,Chrome
1080,1920,Windows,82,Chrome
800,1280,Windows,83,Firefox
1080,1920,Windows,84,Chrome
768,1366,Linux,85,Chrome
768,1360,Windows,86,Firefox
1080,1920,Windows,87,Chrome
800,1280,Mac,88,Chrome
768,1366,Windows,89,Chrome
900,1600,Windows,90,Chrome
1440,2560,Windows,91,Chrome
720,1280,Windows,92,Chrome
1080,1920,Windows,93,Chrome
1050,1680,Mac,94,Chrome
900,1600,Windows,95,Chrome
1080,1920,Mac,96,Chrome
768,1366,Windows,97,Chrome
900,1600,Windows,98,Chrome
