education,enjoyment,language,gender,comments,workerid,age,assess
3,2,English,Female,None,0,48,Yes
2,2,English,Male,,1,25,Yes
2,2,English,Other,"Very cool game, perfect for me to get my brain going for the morning! You guys ROCK!",2,27,Yes
4,2,English,Male,,3,49,Yes
3,1,english,Female,thank you,4,58,Yes
3,2,English,Female,,5,34,Yes
3,1,English,Female,,6,42,Yes
3,1,English,Female,,7,42,Yes
2,2,english,Male,,8,56,Yes
3,1,English,Female,,9,50,Yes
3,2,english,Male,,10,34,Yes
3,1,English,Male,,11,37,Yes
2,2,English,Female,I am wondering if the qualifiers for the sliders were switched because my results were coming out differently than expected.,12,41,Yes
4,2,English,Female,None.,13,52,No
2,2,English,Male,Thanks for the HIT!  I did my best and hope the data is useful!,14,44,Yes
3,2,English,Other,This was a fun game,15,28,Yes
4,2,English,Male,,16,30,Yes
1,2,English,Female,"I actually had fun with this hit, thank you!",17,40,Yes
3,2,English,Male,,18,36,Yes
1,1,english,Male,ty,19,33,Yes
3,1,English,Female,,20,31,Yes
2,1,english,Male,,21,38,Yes
3,2,English,Female,That was fun!,22,33,Yes
3,2,English,Male,,23,25,Yes
2,2,English,Female,I thought this was very interesting and fun.  Thanks,24,68,Yes
2,1,eng,Male,,25,40,Yes
2,2,english,Female,Interesting!,26,41,Yes
3,2,English,Female,,27,35,Yes
1,1,English,Male,,28,25,Yes
2,2,english,Male,,29,33,Yes
1,2,English,Male,,30,24,Yes
2,2,Italian,Male,"Thank you very much for this HIT, and best of luck with your research",31,40,Yes
1,2,English,Female,That was really fun but a little difficult choosing the favorites for each.,32,61,Yes
3,1,English,Female,I think I am terrible at these types of logic games. Ugh! ,33,52,Yes
1,2,English,Male,"No comments, thank you!",34,24,Yes
2,2,English,Female,,35,26,Yes
3,2,English,Female,Cool survey!,36,54,Yes
-1,2,English,Male,,37,35,Yes
3,2,English,Male,No comments.,38,27,Yes
4,2,English,Female,,39,34,Yes
3,2,English,Male,This experiment is very interesting,40,44,Yes
3,1,English,Male,,41,37,Confused
2,2,English,Female,,42,43,Yes
2,2,English,Male,thank you,43,43,Yes
3,2,English,Male,,44,27,Yes
3,2,English,Female,,45,30,Yes
1,2,english,Female,interesting study,46,25,Yes
4,2,Urdu,Female,Interested would always like to work with you,47,46,Yes
2,2,English,Male,,48,41,Yes
3,2,English,Male,No comments.,49,28,Yes
3,2,English,Male,Fun study.  Really enjoyed it.,50,35,Yes
3,2,english,Female,,51,39,Yes
4,2,English,Male,,52,44,Yes
2,2,English,,That was really interesting to complete.,53,34,Yes
3,1,english,Male,,54,21,Yes
3,2, English,Female,Thank you! fun task!,55,26,Yes
4,2,English,Male,No comments!,56,64,Yes
3,2,English,Female,This was so much fun. I hope you submit another HIT like it and I am lucky enough to snag it. Thanks for brightening my day!,57,50,Yes
3,2,english,Male,,58,29,Yes
2,2,English,Male,Interesting experiment,59,29,Yes
3,2,English,Female,I thought this was way better than the average hit. It was fun. ,60,25,Yes
3,2,English,Male,This was fun and smooth,61,27,Yes
1,2,English,Female,,62,29,Yes
3,2,English,Male,,63,53,Yes
2,1,English,Female,Wasn't too difficult. There was no technical issues.,64,39,Yes
3,1,english,Male,,65,31,Yes
2,1,English,Female,none,66,68,Yes
3,2,English,Male,Thank you,67,35,Yes
1,2,English,Female,,68,62,Yes
3,2,English,Male,,69,31,Yes
2,2,English,Male,,70,42,Yes
1,2,english,Female,nice game/task! I had fun!,71,32,Yes
3,2,English,Male,,72,37,Yes
3,2,English,Female,,73,37,Yes
1,2,English,Female,I  really enjoyed this challenge,74,60,Yes
2,1,English,Female,,75,39,Yes
3,1,english,Male,,76,33,Yes
3,2,English,Male,"It was fun, thank you.",77,30,Yes
3,2,English,Male,,78,35,Yes
2,2,English,Female,This was fun to do,79,60,Yes
3,2,English,Female,I found it fun,80,45,Yes
3,1,english,Female,,81,39,Yes
2,2,English,Male,,82,32,Yes
2,2,English,Male,,83,42,Yes
3,2,English,Female,,84,34,Yes
2,2,English,Female,,85,45,Confused
3,2,English,Male,no comments,86,37,Yes
2,2,english,Male,,87,34,Yes
2,2,English,Female,,88,27,Yes
3,2,English,Female,This was a really fun experiment! ,89,27,Yes
3,2,ENGLISH,Male,,90,30,Yes
0,1,English,Other,,91,33,Yes
3,2,English,Female,very interesting thank you,92,45,Yes
2,2,English,Female,,93,34,Yes
2,1,english,Male,,94,40,Yes
