workerid,anon_workerid
AZNFEOC5WRHZP,0
A1WTUFTRMUN5IR,1
A36A780ODXBDEH,2
A88DXNDGDUWEN,3
A10JXOU89D5RXR,4
A1601UNFFAAQOI,5
A2389DERMNF3ZB,6
A27PINUYH0XHRB,7
A1ZI4VU6650Q8B,8
A2JP8W265WCC35,9
A1RDRK3QTM7U96,10
A2N2GFB33ZMYGF,11
A18WSAKX5YN2FB,12
A1PAY3X73PQ16S,13
A1F9KLZGHE9DTA,14
A20X14OMRL0YPZ,15
A1G2U62KJ13ZF0,16
AU34T9OMHN4Z4,17
A39GADIK8RLMVC,18
ADT6AD3LK64AH,19
A2YVC1U50H2B4R,20
A2YGOORS5N9RW8,21
A2ZARG52ZPGMBH,22
A36CQIFWEDEECU,23
A37DTVGS7RX6AG,24
A23KAJRDVCVGOE,25
A2W8TJXW68442D,26
A3D2GO0IFRFN6R,27
A1ZD8RU6YB0VEU,28
A3KK1BNF5H0N1Z,29
A33YQ7GA9Q4SDB,30
A2VRDE2FHCBMF8,31
A2VNSNAN1LZBAM,32
A2N9U74YIPDQ9F,33
A3388HIWAKD3DV,34
A2PBRGT71DUYOY,35
A3RZD9PCT2WAR1,36
ACGZDI611LU0I,37
A101IR0LIN81SL,38
AVNXCGTZQ1CFK,39
A2V68VOW02OWI1,40
A2WWYVKGZZXBOB,41
A748N8WFG2HR4,42
A1TMZLYXQAK8Q0,43
A37LY5UTJV2KYZ,44
A1K0S514CEY1UG,45
A397QMUM40C4SH,46
A2OFRJHPNIMPI7,47
AEWPAZBYA7XE,48
A1KFCUN4NISJ1O,49
A3NS1DN6J7Z3EU,50
A1T208Y507O4RS,51
ANFWGSQ8BQRZ,52
A2NYP2UJTXTWQ,53
A2ETXCA9X5P484,54
A2WC2NO555XU3J,55
A1GD7ISOXO1XFZ,56
ARFQ8FJRKCUZ6,57
A1MXE9QGRV61MW,58
AAE6DGZOC9EWQ,59
A3RHJEMZ4EGY2U,60
A143XRCI1YXAFE,61
A7204W9E8IR1R,62
A1RH3X41J9J05R,63
A1ERMRNNR0CZ2Y,64
A24YH95DSHXH9V,65
A37OUZOGQKGMW0,66
A3I6JPGXHWY9FS,67
AVI7K876BV3QL,68
A157L6Z8QU3SDE,69
A2YLK83DQ6PA5Y,70
A2X977GVQ6L90X,71
A1P6OXEJ86HQRM,72
AUFOO8PU2BK37,73
AFN5VMMGYPF1I,74
A10BH9PYCYUKDJ,75
A2KBTDHM44J7X4,76
A50K26F2IS94U,77
A1UY2W2FL9CWN,78
A3W1M37EJKYIZI,79
A38DHLB88V8DL8,80
ASI2B6A3Y556Z,81
A3TT7QV49VCZJ9,82
A1YT6E0W0SDP0R,83
A3SIVBFZ3A501B,84
A1LRJ4U04532TM,85
A3BHRFFG75X3GO,86
A28SYXQL3YOKVL,87
A1PKCBFB4QY19G,88
A3B96QLXW4J0BL,89
A1SIUJEL2LS8UO,90
A1F1BIPJR11LSR,91
A3J55BJGV95JKH,92
A27KZJJR9201NN,93
A4IH4CO046EV3,94
