"","workerid","anon_workerid"
"1","AZNFEOC5WRHZP",0
"2","A1WTUFTRMUN5IR",1
"3","A36A780ODXBDEH",2
"4","A88DXNDGDUWEN",3
"5","A10JXOU89D5RXR",4
"6","A1601UNFFAAQOI",5
"7","A2389DERMNF3ZB",6
"8","A27PINUYH0XHRB",7
"9","A1ZI4VU6650Q8B",8
"10","A2JP8W265WCC35",9
"11","A1RDRK3QTM7U96",10
"12","A2N2GFB33ZMYGF",11
"13","A18WSAKX5YN2FB",12
"14","A1PAY3X73PQ16S",13
"15","A1F9KLZGHE9DTA",14
"16","A20X14OMRL0YPZ",15
"17","A1G2U62KJ13ZF0",16
"18","AU34T9OMHN4Z4",17
"19","A39GADIK8RLMVC",18
"20","ADT6AD3LK64AH",19
"21","A2YVC1U50H2B4R",20
"22","A2YGOORS5N9RW8",21
"23","A2ZARG52ZPGMBH",22
"24","A36CQIFWEDEECU",23
"25","A37DTVGS7RX6AG",24
"26","A23KAJRDVCVGOE",25
"27","A2W8TJXW68442D",26
"28","A3D2GO0IFRFN6R",27
"29","A1ZD8RU6YB0VEU",28
"30","A3KK1BNF5H0N1Z",29
"31","A33YQ7GA9Q4SDB",30
"32","A2VRDE2FHCBMF8",31
"33","A2VNSNAN1LZBAM",32
"34","A2N9U74YIPDQ9F",33
"35","A3388HIWAKD3DV",34
"36","A2PBRGT71DUYOY",35
"37","A3RZD9PCT2WAR1",36
"38","ACGZDI611LU0I",37
"39","A101IR0LIN81SL",38
"40","AVNXCGTZQ1CFK",39
"41","A2V68VOW02OWI1",40
"42","A2WWYVKGZZXBOB",41
"43","A748N8WFG2HR4",42
"44","A1TMZLYXQAK8Q0",43
"45","A37LY5UTJV2KYZ",44
"46","A1K0S514CEY1UG",45
"47","A397QMUM40C4SH",46
"48","A2OFRJHPNIMPI7",47
"49","AEWPAZBYA7XE",48
"50","A1KFCUN4NISJ1O",49
"51","A3NS1DN6J7Z3EU",50
"52","A1T208Y507O4RS",51
"53","ANFWGSQ8BQRZ",52
"54","A2NYP2UJTXTWQ",53
"55","A2ETXCA9X5P484",54
"56","A2WC2NO555XU3J",55
"57","A1GD7ISOXO1XFZ",56
"58","ARFQ8FJRKCUZ6",57
"59","A1MXE9QGRV61MW",58
"60","AAE6DGZOC9EWQ",59
"61","A3RHJEMZ4EGY2U",60
"62","A143XRCI1YXAFE",61
"63","A7204W9E8IR1R",62
"64","A1RH3X41J9J05R",63
"65","A1ERMRNNR0CZ2Y",64
"66","A24YH95DSHXH9V",65
"67","A37OUZOGQKGMW0",66
"68","A3I6JPGXHWY9FS",67
"69","AVI7K876BV3QL",68
"70","A157L6Z8QU3SDE",69
"71","A2YLK83DQ6PA5Y",70
"72","A2X977GVQ6L90X",71
"73","A1P6OXEJ86HQRM",72
"74","AUFOO8PU2BK37",73
"75","AFN5VMMGYPF1I",74
"76","A10BH9PYCYUKDJ",75
"77","A2KBTDHM44J7X4",76
"78","A50K26F2IS94U",77
"79","A1UY2W2FL9CWN",78
"80","A3W1M37EJKYIZI",79
"81","A38DHLB88V8DL8",80
"82","ASI2B6A3Y556Z",81
"83","A3TT7QV49VCZJ9",82
"84","A1YT6E0W0SDP0R",83
"85","A3SIVBFZ3A501B",84
"86","A1LRJ4U04532TM",85
"87","A3BHRFFG75X3GO",86
"88","A28SYXQL3YOKVL",87
"89","A1PKCBFB4QY19G",88
"90","A3B96QLXW4J0BL",89
"91","A1SIUJEL2LS8UO",90
"92","A1F1BIPJR11LSR",91
"93","A3J55BJGV95JKH",92
"94","A27KZJJR9201NN",93
"95","A4IH4CO046EV3",94
"96","A1VW8Y7XCV3DRW",95
"97","A2OV5NPNDK5O4C",96
"98","ADF5F7Z0SP0B3",97
"99","A2SKXKH9YXZYRI",98
"100","AFU00NU09CFXE",99
